time,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,price day ahead
2014-12-31 23:00:00+00:00,17.0,6436.0,26118.0,50.1
2015-01-01 00:00:00+00:00,16.0,5856.0,24934.0,48.1
2015-01-01 01:00:00+00:00,8.0,5454.0,23515.0,47.33
2015-01-01 02:00:00+00:00,2.0,5151.0,22642.0,42.27
2015-01-01 03:00:00+00:00,9.0,4861.0,21785.0,38.41
2015-01-01 04:00:00+00:00,4.0,4617.0,21441.0,35.72
2015-01-01 05:00:00+00:00,3.0,4276.0,21285.0,35.13
2015-01-01 06:00:00+00:00,12.0,3994.0,21545.0,36.22
2015-01-01 07:00:00+00:00,39.0,3602.0,21443.0,32.4
2015-01-01 08:00:00+00:00,784.0,3212.0,21560.0,36.6
2015-01-01 09:00:00+00:00,1996.0,2617.0,22824.0,43.1
2015-01-01 10:00:00+00:00,2990.0,2450.0,23720.0,45.14
2015-01-01 11:00:00+00:00,3842.0,2819.0,24180.0,45.14
2015-01-01 12:00:00+00:00,3812.0,2830.0,24797.0,47.35
2015-01-01 13:00:00+00:00,3699.0,2851.0,25222.0,47.35
2015-01-01 14:00:00+00:00,3369.0,2822.0,24173.0,43.61
2015-01-01 15:00:00+00:00,2615.0,2562.0,23659.0,44.91
2015-01-01 16:00:00+00:00,1387.0,2578.0,23982.0,48.1
2015-01-01 17:00:00+00:00,399.0,2824.0,26981.0,58.02
2015-01-01 18:00:00+00:00,100.0,2801.0,28515.0,61.01
2015-01-01 19:00:00+00:00,44.0,2999.0,30482.0,62.69
2015-01-01 20:00:00+00:00,26.0,3185.0,30739.0,60.41
2015-01-01 21:00:00+00:00,13.0,3446.0,29756.0,58.15
2015-01-01 22:00:00+00:00,14.0,3482.0,27589.0,53.6
2015-01-01 23:00:00+00:00,5.0,13329.0,27309.0,10.0
2015-01-02 00:00:00+00:00,35.0,12718.0,25397.0,7.0
2015-01-02 01:00:00+00:00,43.0,12375.0,23640.0,5.0
2015-01-02 02:00:00+00:00,32.0,11524.0,22638.0,4.0
2015-01-02 03:00:00+00:00,31.0,11310.0,22238.0,4.0
2015-01-02 04:00:00+00:00,26.0,11111.0,22299.0,4.8
2015-01-02 05:00:00+00:00,21.0,11303.0,22660.0,5.0
2015-01-02 06:00:00+00:00,136.0,11297.0,23449.0,7.04
2015-01-02 07:00:00+00:00,175.0,11048.0,24067.0,7.04
2015-01-02 08:00:00+00:00,1092.0,10711.0,25737.0,7.88
2015-01-02 09:00:00+00:00,2319.0,10379.0,27883.0,10.71
2015-01-02 10:00:00+00:00,3451.0,10423.0,28969.0,10.0
2015-01-02 11:00:00+00:00,4005.0,10989.0,28894.0,7.04
2015-01-02 12:00:00+00:00,4120.0,11842.0,29460.0,7.0
2015-01-02 13:00:00+00:00,3794.0,12078.0,29389.0,6.33
2015-01-02 14:00:00+00:00,3479.0,11797.0,28231.0,5.0
2015-01-02 15:00:00+00:00,2788.0,12061.0,27716.0,6.21
2015-01-02 16:00:00+00:00,1786.0,12102.0,27981.0,9.98
2015-01-02 17:00:00+00:00,618.0,11451.0,30136.0,33.15
2015-01-02 18:00:00+00:00,170.0,10619.0,32754.0,50.0
2015-01-02 19:00:00+00:00,104.0,10216.0,33968.0,52.01
2015-01-02 20:00:00+00:00,93.0,10470.0,33870.0,50.01
2015-01-02 21:00:00+00:00,92.0,10112.0,32715.0,45.8
2015-01-02 22:00:00+00:00,81.0,9560.0,30052.0,41.74
2015-01-02 23:00:00+00:00,2.0,9313.0,26323.0,35.62
2015-01-03 00:00:00+00:00,0.0,9215.0,24301.0,27.1
2015-01-03 01:00:00+00:00,0.0,9196.0,22651.0,25.0
2015-01-03 02:00:00+00:00,2.0,9502.0,21785.0,20.01
2015-01-03 03:00:00+00:00,2.0,9617.0,21418.0,17.1
2015-01-03 04:00:00+00:00,1.0,9619.0,21317.0,17.22
2015-01-03 05:00:00+00:00,1.0,9733.0,21768.0,20.14
2015-01-03 06:00:00+00:00,37.0,9455.0,22276.0,19.87
2015-01-03 07:00:00+00:00,364.0,8564.0,22674.0,20.22
2015-01-03 08:00:00+00:00,1080.0,8062.0,24595.0,25.22
2015-01-03 09:00:00+00:00,2015.0,7573.0,26431.0,25.13
2015-01-03 10:00:00+00:00,2935.0,7689.0,27260.0,27.1
2015-01-03 11:00:00+00:00,3406.0,8082.0,27165.0,28.71
2015-01-03 12:00:00+00:00,3743.0,8571.0,27449.0,25.0
2015-01-03 13:00:00+00:00,3756.0,9082.0,27154.0,23.68
2015-01-03 14:00:00+00:00,3373.0,9168.0,26011.0,14.87
2015-01-03 15:00:00+00:00,2724.0,9502.0,25162.0,11.7
2015-01-03 16:00:00+00:00,1852.0,9020.0,24691.0,19.52
2015-01-03 17:00:00+00:00,741.0,8641.0,25293.0,25.13
2015-01-03 18:00:00+00:00,103.0,8863.0,28421.0,39.71
2015-01-03 19:00:00+00:00,111.0,9619.0,30293.0,44.0
2015-01-03 20:00:00+00:00,157.0,10158.0,30828.0,41.21
2015-01-03 21:00:00+00:00,136.0,10370.0,29896.0,35.69
2015-01-03 22:00:00+00:00,78.0,10857.0,27700.0,30.23
2015-01-03 23:00:00+00:00,584.0,8564.0,25481.0,24.65
2015-01-04 00:00:00+00:00,640.0,8335.0,23734.0,20.2
2015-01-04 01:00:00+00:00,551.0,7816.0,22658.0,19.16
2015-01-04 02:00:00+00:00,508.0,7802.0,22130.0,21.9
2015-01-04 03:00:00+00:00,445.0,7570.0,21879.0,14.9
2015-01-04 04:00:00+00:00,288.0,7595.0,22230.0,24.65
2015-01-04 05:00:00+00:00,134.0,7913.0,23903.0,28.01
2015-01-04 06:00:00+00:00,33.0,8239.0,26742.0,27.51
2015-01-04 07:00:00+00:00,379.0,8275.0,28481.0,33.96
2015-01-04 08:00:00+00:00,1381.0,8320.0,29705.0,38.0
2015-01-04 09:00:00+00:00,3378.0,8529.0,30656.0,37.17
2015-01-04 10:00:00+00:00,4727.0,8199.0,30717.0,35.01
2015-01-04 11:00:00+00:00,5221.0,7698.0,30616.0,38.0
2015-01-04 12:00:00+00:00,5765.0,7274.0,30287.0,38.12
2015-01-04 13:00:00+00:00,5661.0,7008.0,29451.0,30.4
2015-01-04 14:00:00+00:00,5540.0,7263.0,28730.0,27.58
2015-01-04 15:00:00+00:00,5319.0,7886.0,28393.0,27.56
2015-01-04 16:00:00+00:00,4766.0,8191.0,28062.0,27.5
2015-01-04 17:00:00+00:00,3965.0,8321.0,27317.0,26.53
2015-01-04 18:00:00+00:00,2680.0,8296.0,27189.0,30.0
2015-01-04 19:00:00+00:00,1189.0,8158.0,28914.0,39.7
2015-01-04 20:00:00+00:00,750.0,8677.0,30333.0,40.48
2015-01-04 21:00:00+00:00,643.0,9036.0,28341.0,37.97
2015-01-04 22:00:00+00:00,647.0,8826.0,26412.0,28.0
2015-01-04 23:00:00+00:00,399.0,7321.0,25149.0,43.49
2015-01-05 00:00:00+00:00,588.0,7474.0,23630.0,35.5
2015-01-05 01:00:00+00:00,566.0,7731.0,22590.0,35.2
2015-01-05 02:00:00+00:00,546.0,8233.0,21912.0,35.2
2015-01-05 03:00:00+00:00,386.0,8397.0,21369.0,30.6
2015-01-05 04:00:00+00:00,277.0,8437.0,20723.0,30.6
2015-01-05 05:00:00+00:00,161.0,8660.0,20498.0,30.6
2015-01-05 06:00:00+00:00,195.0,8285.0,19736.0,30.0
2015-01-05 07:00:00+00:00,685.0,8286.0,19970.0,30.6
